code,lotsize,contract_step,qty_freeze,Sector,Industry,MktCategory,Mcap,IntraSectorRank,NiftyRank
SYNGENE,850,10,34000,PHARMACEUTICALS,PHARM-IND-BD&FOR,LARGECAP,25362.4,PHARMACEUTICALS-16 of 23,NiftyRank-151
PFIZER,125,50,3750,PHARMACEUTICALS,PHARM-MNC,LARGECAP,22404.04,PHARMACEUTICALS-17 of 23,NiftyRank-159
APLLTD,700,10,28000,PHARMACEUTICALS,PHARM-IND-BD&FOR,MIDCAP,15778.12,PHARMACEUTICALS-18 of 23,NiftyRank-171
METROPOLIS,200,50,8000,PHARMACEUTICALS,HEALTHCARE,MIDCAP,15622.86,PHARMACEUTICALS-19 of 23,NiftyRank-172
GLENMARK,1150,10,46000,PHARMACEUTICALS,PHARM-IND-BD&FOR,MIDCAP,14559.88,PHARMACEUTICALS-20 of 23,NiftyRank-176
IPCALAB,225,20,18000,PHARMACEUTICALS,PHARM-IND-BD&FOR,MIDCAP,13476.13,PHARMACEUTICALS-21 of 23,NiftyRank-178
GRANULES,1550,5,62000,PHARMACEUTICALS,PHARM-IND-B DRUG,MIDCAP,8868.69,PHARMACEUTICALS-22 of 23,NiftyRank-189
STAR,900,10,36000,PHARMACEUTICALS,PHARM-IND-BD&FOR,SMALLCAP,4091.61,PHARMACEUTICALS-23 of 23,NiftyRank-197
JUBLFOOD,125,50,5000,QUICK SERVICE RESTAURANT,FOOD-PROC-MNC,LARGECAP,51883.63,QUICK SERVICE RESTAURANT-1 of 1,NiftyRank-84
LT,575,20,11500,REALTY,ENGG-TUNKEY SERV,LARGECAP,287217.04,REALTY-1 of 7,NiftyRank-16
ADANIPORTS,1250,10,37500,REALTY,MISCELLANEOUS,LARGECAP,159277.05,REALTY-2 of 7,NiftyRank-29
DLF,1650,10,49500,REALTY,CONSTRUCTION,LARGECAP,103307.13,REALTY-3 of 7,NiftyRank-43
GODREJPROP,325,50,9750,REALTY,CONSTRUCTION,LARGECAP,54606.44,REALTY-4 of 7,NiftyRank-80
OBEROIRLTY,700,20,21000,REALTY,CONSTRUCTION,LARGECAP,35413.04,REALTY-5 of 7,NiftyRank-125
GMRINFRA,22500,1,450000,REALTY,ENGG-TUNKEY SERV,LARGECAP,27373.01,REALTY-6 of 7,NiftyRank-146
NBCC,12000,1,480000,REALTY,CONSTRUCTION,MIDCAP,9603,REALTY-7 of 7,NiftyRank-185
ADANIENT,500,20,15000,SERVICES,TRADING,LARGECAP,205691.98,SERVICES-1 of 9,NiftyRank-23
HDFCLIFE,1100,5,33000,SERVICES,FINANCE & INVEST,LARGECAP,141797.7,SERVICES-2 of 9,NiftyRank-32
SBILIFE,750,10,22500,SERVICES,FINANCE & INVEST,LARGECAP,126395.8,SERVICES-3 of 9,NiftyRank-35
ICICIPRULI,750,10,30000,SERVICES,FINANCE & INVEST,LARGECAP,84958.03,SERVICES-4 of 9,NiftyRank-52
INDIGO,250,20,10000,SERVICES,TRANSPORT - AIR,LARGECAP,83401.61,SERVICES-5 of 9,NiftyRank-55
ICICIGI,425,20,17000,SERVICES,FINANCE & INVEST,LARGECAP,69476.96,SERVICES-6 of 9,NiftyRank-70
CONCOR,800,10,32000,SERVICES,MISCELLANEOUS,LARGECAP,42196.68,SERVICES-7 of 9,NiftyRank-109
INDHOTEL,4022,5,120660,SERVICES,HOTELS,LARGECAP,25057.68,SERVICES-8 of 9,NiftyRank-152
RAIN,2500,5,100000,SERVICES,TRADING,MIDCAP,8455.73,SERVICES-9 of 9,NiftyRank-191
BHARTIARTL,950,10,28500,TELECOM,TELECOMM-SERVICE,LARGECAP,424023.73,TELECOM-1 of 4,NiftyRank-10
INDUSTOWER,2800,5,84000,TELECOM,TRANLINETOW/EQPT,LARGECAP,73329.23,TELECOM-2 of 4,NiftyRank-65
TATACOMM,400,20,16000,TELECOM,TELECOMM-SERVICE,LARGECAP,44039.63,TELECOM-3 of 4,NiftyRank-100
IDEA,70000,1,1400000,TELECOM,TELECOMM-SERVICE,LARGECAP,36637.62,TELECOM-4 of 4,NiftyRank-121
GRASIM,475,20,14250,TEXTILES,TEXT-MANMADE,LARGECAP,122240.31,TEXTILES-1 of 1,NiftyRank-39
