"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"NAVINFLUOR","3,702.30","3,722.50","20.20","0.55","3,722.50","724","26,95,090.00","1,28,57,30,29,032.00","4,950.00","3,650.05"
"GRASIM","1,980.10","1,990.90","10.80","0.55","1,990.90","3,451","68,70,595.90","7,30,97,29,74,635.90","1,988.10","1,527.05"
"GNFC","624.45","627.85","3.40","0.54","627.85","1,421","8,92,174.85","55,28,37,82,172.76","735.00","484.45"
"BSOFT","540.15","543.00","2.85","0.53","543.00","4,271","23,19,153.00","87,95,43,94,385.39","548.50","250.25"
"L&TFH","132.85","133.55","0.70","0.53","133.55","17,635","23,55,154.25","98,85,09,97,232.91","140.20","74.55"
"SHRIRAMFIN","1,898.60","1,908.55","9.95","0.52","1,908.55","492","9,39,006.60","5,27,73,79,98,698.00","1,971.80","1,164.00"
"HEROMOTOCO","3,100.85","3,116.95","16.10","0.52","3,116.95","4,525","1,41,04,198.75","4,02,36,57,33,388.26","3,244.00","2,246.00"
"GMRINFRA","59.30","59.60","0.30","0.51","59.60","33,623","20,03,930.80","1,46,62,82,00,592.94","66.75","34.10"
"ACC","2,038.70","2,049.00","10.30","0.51","2,049.00","562","11,51,538.00","1,64,69,06,50,268.21","2,675.00","1,592.35"
"M&MFIN","290.55","292.00","1.45","0.50","292.00","3,429","10,01,268.00","1,72,40,09,02,917.12","346.55","191.20"
"EXIDEIND","263.00","264.30","1.30","0.49","264.30","4,014","10,60,900.20","1,18,48,15,00,000.00","279.75","152.75"
"VOLTAS","862.70","866.95","4.25","0.49","866.95","665","5,76,521.75","1,96,70,08,85,945.43","934.00","737.20"
